zip;meanVader;meanSyuzhet;MedianIncomePast12Months;LessThanHighSchoolGraduate;HighSchoolGraduate;BachelorsDegreeOrHigher
07843;0;-0.1;40908;0.0418468731735827;0.375336060783168;0.279719462302747
07850;-0.834;-2.75;34347;0.0506798516687268;0.35327564894932;0.27070457354759
07866;0.273;0.8;51284;0.0347400611620795;0.211070336391437;0.519388379204893
07869;0.308;0.05;60290;0.0431819483420194;0.128114082813126;0.625451005097074
07932;0.866;1.75;55493;0.018838961763885;0.142617917945855;0.676667596985766
08002;0;-0.6;38300;0.0822959061527412;0.209839597797462;0.404057936317932
08003;-0.077;-0.325;54201;0.0413385826771654;0.132452193475816;0.658652043494563
08008;-0.34;-0.5;44185;0.0148230793751992;0.203219636595473;0.579056423334396
08010;-0.778;-1.25;32712;0.13003594892773;0.381182595760506;0.219784306433618
08012;-0.564;-0.95;36252;0.0821406347230865;0.322193345290823;0.29096965481899
08022;-0.189571428571429;-0.592857142857143;50879;0.0507913669064748;0.277122302158273;0.434820143884892
08028;-0.153;0;23684;0.0908322056833559;0.279431664411367;0.357577807848444
08030;0.872;2.95;28072;0.109385704498744;0.438912993834209;0.173669787622745
08031;-0.715;-1.1;30472;0.148743354277429;0.370106331561141;0.198042532624456
08043;-0.598;-1.1;43926;0.0783704958133409;0.185341988898297;0.545347633831969
08054;0.064;0.125;49888;0.0393897920352505;0.205327636278666;0.53019327703041
08055;-0.717;-1.2;53846;0.0201223939425371;0.17010683539052;0.584379213774505
08057;-0.0515;-0.25;60098;0.0293800732705984;0.143955175633934;0.648660297392429
08060;0.628;1.35;42972;0.0602156805596036;0.283532497814048;0.35517341882833
08077;0.3755;0.1;48222;0.0313095761841912;0.256415896759056;0.428435254436134
08087;0.662;-1.3;33040;0.0758771019306622;0.360442183931908;0.272109196595391
08093;-0.7;-0.6;29208;0.105927051671733;0.483282674772036;0.16322188449848
08096;-0.0835;0.95;35771;0.0910126482834473;0.330269463429963;0.294249351873674
08109;0;-0.1;32010;0.128589661774091;0.331397574984046;0.24888321633695
08204;-0.477;-0.25;32147;0.0576751781472684;0.311683491686461;0.322520783847981
08210;-0.5995;-1.425;33517;0.0970273881095524;0.307364729458918;0.281730126920508
08234;-0.543;0.125;33881;0.107220229427851;0.323898142557801;0.31256881059772
08330;-0.463;0.3;34089;0.0845695779356456;0.295810697868784;0.331905557877142
08341;-0.103;0.65;22580;0.210909090909091;0.312727272727273;0.193939393939394
08401;0.12175;0.5875;19479;0.263374814933376;0.346004561642191;0.16225841302869
08502;-0.388;1;75833;0.0165500538213132;0.128229278794403;0.722954790096878
08527;0.391;0.5;40899;0.0531082118188795;0.303453568687644;0.332182143770785
08536;0.959;2.05;72325;0.0151990866276581;0.0944769516198088;0.790352504638219
08540;-0.818;-1.35;59725;0.0348822762005343;0.0656022861402746;0.803131018202149
08550;0;0;80108;0.0157620817843866;0.0700371747211896;0.820743494423792
08628;0.128;-1.25;48621;0.0404864303722379;0.23891442977903;0.525730387068071
08701;0.2585;0.5;25587;0.121352467431726;0.305788140813579;0.30537747256508
08724;-0.778;-1.6;38235;0.0669443617970842;0.300142153459618;0.334523455320837
08731;-0.706;0.5;39472;0.0705477487811873;0.336750788643533;0.270361342127904
08735;-0.817;-1.35;42807;0.0392383150605886;0.235718407386036;0.484997114829775
08751;0;-1.6;33587;0.0968440594059406;0.300742574257426;0.366336633663366
08753;0.40475;-0.1125;36689;0.062737512800091;0.33498691546251;0.321447263624986
08757;-0.908;-2.5;26883;0.122524752475248;0.480869872701556;0.157107496463932
08758;-0.772;-1.25;35695;0.0718759787034137;0.371594112120263;0.279047917319136
08816;-0.943;-4.05;45615;0.0560335844225444;0.195402983297109;0.559234227528508
08823;0;-0.25;54630;0.0341215205028435;0.186620772223885;0.609697695300808
08824;0;0;57386;0.0317460317460317;0.136460554371002;0.647713811892916
08831;-0.178;-1.3;43270;0.0625332556312869;0.273240935465072;0.4547596726379
08840;-0.69;-1;57244;0.0449061662198391;0.162365951742627;0.589058310991957
08854;-0.137;-0.125;41126;0.0759449370041997;0.210073495100327;0.501020765282315
08872;0.238;-1;38279;0.0910548699714146;0.307885379627693;0.336470752283344
10007;0.5525;1.55;103941;0.0618744313011829;0.0646041856232939;0.819836214740673
10013;0;0;59847;0.17843137254902;0.0773109243697479;0.657236227824463
10018;0.525;0.75;87206;0.0779014308426073;0.0915474297827239;0.702702702702703
10024;0.00412765957446809;-0.0218085106382979;82312;0.0423170234235782;0.0535242716362153;0.820168752817914
10029;0;0.8;20290;0.258446620401179;0.237551098013119;0.319098773647685
10306;-0.14375;-0.48125;40493;0.103688576898532;0.335392469687301;0.307645181876197
10456;-0.876;-1.25;17079;0.331653386807688;0.283952369966815;0.125889513939415
10461;0.0245714285714286;-0.464285714285714;31090;0.189281767955801;0.275386740331492;0.283895027624309
10464;0.1805;0.25;47022;0.0796274038461538;0.182091346153846;0.466646634615385
10522;0.625;0.5;56418;0.0441525778957664;0.121838759256672;0.653625820874668
10523;-0.4815;-0.725;41418;0.121824947419511;0.216469826888853;0.441190745834007
10530;0.075;1;63516;0.0293782973000931;0.120306196338057;0.695148443157133
10536;0;0;66429;0.0373976855771945;0.107394863110358;0.682895850973751
10549;0.372;-1.75;42867;0.150013466199838;0.168507047311249;0.553281264027291
10573;-0.083;1.65;32055;0.21480301823835;0.228377507299132;0.373412201873128
10580;-0.621;-0.75;70567;0.0351703129327056;0.0729253207791009;0.758607957167913
10591;0.572;0.75;40986;0.16155245603396;0.150636749545179;0.49787750151607
10604;0.848;1.15;41134;0.0955698698567109;0.221637965032207;0.444459050874195
10701;-0.402;-0.75;28201;0.235578891591801;0.274669428454443;0.266986199089573
10952;-0.609;-1;29498;0.182749356319266;0.291951192208665;0.276950632486287
10994;0.748;1.3;61197;0.0291172106824926;0.186016320474777;0.54339762611276
11010;0.273;0;43691;0.0888015493278651;0.297049441786284;0.345352016404648
11021;0.567;0.5;57226;0.0534334290130272;0.144697136969162;0.659969088098918
11023;0.765;1.5;49142;0.0761472516389309;0.165742141536393;0.605984199025046
11040;-0.25;-0.75;49426;0.076611815484219;0.216650930671702;0.512712435932021
11050;-0.424;0.6;57759;0.0583885527705752;0.130557956400653;0.644434841064055
11096;0;-0.5;28022;0.285336856010568;0.307039063974335;0.193621438007171
11101;0.775;0.65;45460;0.10535138620245;0.233612722974425;0.517816462497314
11201;-0.498;-0.55;75646;0.0506073725358329;0.0990500609474171;0.753772434954394
11226;-0.0324202898550725;-0.107971014492754;31191;0.139791174894646;0.343547709730207;0.300884827596194
11414;0.859;2.55;36732;0.136607434354741;0.322746140571802;0.272888391399655
11420;-0.0360731707317073;0.0304878048780488;31240;0.239614155521363;0.319653213398035;0.202124511776542
11530;0.818;1.25;66875;0.0233403897302285;0.11827606795853;0.703414210497747
11542;-0.277;-0.4;32859;0.160124772550039;0.279334546399792;0.382115934494411
11550;-0.0765;-1.35;28035;0.271915406530791;0.302076484768792;0.198827525750603
11553;0.78;0.75;28747;0.245482564815374;0.309602949175077;0.212666948691606
11565;-0.1255;-0.3;57872;0.0350231888693427;0.20390212697905;0.538141691987846
11576;-0.226;-0.2;78979;0.0217022719565955;0.0913303944840059;0.753588787159489
11580;0.821;1;41714;0.109064644275912;0.222889786270068;0.385567484159033
11581;0.735;1.5;46407;0.0779046339825386;0.242578912021491;0.456682337139019
11590;-0.934;-3;39286;0.160325183595757;0.235274562543443;0.380609870349663
11701;0.562666666666667;1.06666666666667;33779;0.144339573447359;0.343536528132659;0.249517651353183
11709;0;0;44192;0.040234532955924;0.215729882733522;0.481601293974929
11720;-0.379;0.05;43226;0.0850160505332919;0.302474888681785;0.316557937247592
11721;0.361;0.5;62766;0.0218181818181818;0.125775401069519;0.630802139037433
11729;0.4675;0.225;39914;0.0917057580287644;0.303056858600959;0.309809784009485
11731;-0.458;-0.75;42938;0.0308054639660857;0.228638718794159;0.459585492227979
11735;0;0.6;46762;0.0539605816909038;0.305679403308471;0.382224259344139
11743;0.459;-0.4;55318;0.0449940007998933;0.148913478202906;0.593787495000667
11757;0.389;0.75;38994;0.0879631081971327;0.355679643630204;0.246855099287888
11758;-0.92;-2.6;47397;0.0379669806328712;0.245475711715525;0.440787384908456
11762;-0.769;0.3;52604;0.0345938285125298;0.267280809121948;0.447787154544869
11763;-0.334;-0.8;38343;0.0899468270138647;0.33841872484222;0.261690602792824
11779;0.453;0.5;40862;0.0588525461030584;0.330272444410716;0.281702967291493
11798;-0.296;-1.2;30533;0.134086174761539;0.367065014801009;0.215436903848262
11937;-0.848;-2.15;46631;0.0816391359593393;0.226572426937738;0.496902795425667
11950;0.872;1.5;36778;0.133164852255054;0.434583981337481;0.151730171073095
11963;-0.477;-2;40817;0.0358231707317073;0.231707317073171;0.551638719512195
11978;-0.167;-1.3;43693;0.040546308151942;0.250533504054631;0.472897994024755
12054;0.44;1.25;49981;0.0181787291879035;0.117906897723411;0.646194359497112
12061;-0.209;0;52995;0.0402712427345696;0.212288956545807;0.49764738444506
12110;-0.106;-0.25;32629;0.0543930003645643;0.234560699963544;0.410134888807875
12180;-0.527;-1.5;29181;0.103845170091227;0.273197487708529;0.33020717878762
12211;0.477;1;48818;0.0461424880029531;0.20401132029039;0.532299741602067
12302;0.475;-0.75;37451;0.0502746967969317;0.256504612833005;0.389188348709443
12309;0.898;3.25;50893;0.0229222264582539;0.168223408311094;0.576010293556996
12477;-0.761;-0.35;31040;0.0750293944738389;0.307907113462669;0.289756025867137
12528;0.511;0.7;37406;0.106356330236927;0.259263124934767;0.332846258219393
12533;-0.557;-0.25;44784;0.0561880906296254;0.276841625868154;0.408971877490607
12538;-0.625;-1.4;28206;0.0850529533791899;0.30265312807075;0.299377661316738
12540;0.361;0.5;52953;0.0280639431616341;0.199289520426288;0.513321492007105
12550;0.388;-0.6;30967;0.150319563954293;0.321777384279114;0.248872534100656
12564;0.402;0.3;37450;0.0886490653305068;0.303912121796107;0.364810175370977
12586;0.888;1.45;36250;0.0941845764854614;0.331858407079646;0.270417193426043
12601;-0.905;-1.6;25779;0.147778276481149;0.271057749850389;0.238779174147217
12603;0.743;0.25;40359;0.067710608555395;0.234282065929635;0.416008602439598
12771;0.024;0.6;30822;0.114317946789508;0.371157281188305;0.217542540189903
12828;0.318;0.25;30903;0.109402205455601;0.381601857225769;0.190946024376088
12866;-0.457;0.6;42688;0.0585529067335843;0.180886658301966;0.543217621636693
12901;0;-0.25;25762;0.121357822867583;0.330368304644677;0.288922011731897
13031;0.874;0.5;41175;0.0316279069767442;0.217209302325581;0.425116279069767
13039;0;0;43908;0.0312782201789672;0.249404810770873;0.365487234217224
13072;-0.104051282051282;-0.0833333333333333;26150;0.180882352941176;0.435294117647059;0.0705882352941176
13126;0.34;0.6;23245;0.106854114265181;0.327928494430471;0.263744160977363
13203;-0.553666666666667;-0.666666666666667;23427;0.201635846372688;0.258179231863442;0.251066856330014
13413;-0.296;0;41063;0.0369388476493461;0.211028632025451;0.481088723930718
13502;-0.84;-1.5;25403;0.128712410390094;0.306768457313099;0.225863513639326
13760;0.192666666666667;0.0833333333333334;30962;0.0753358765964505;0.28760988555316;0.329009786034168
13901;0.026;0.75;25367;0.10374189516444;0.305366768221233;0.269666432309976
14006;0;-0.25;31322;0.0837280579548621;0.371830593480078;0.222485371969908
14009;-0.212;-0.75;30600;0.077468487394958;0.422006302521008;0.165178571428571
14043;0;-0.1;33512;0.0487844672866699;0.391363463316474;0.220971338445641
14120;0.878;2.725;33411;0.0722710240186744;0.302291295534124;0.282572639597027
14127;0.273;0.1;41692;0.0429103619555719;0.207285103251621;0.486547394563768
14150;0.250666666666667;0.783333333333333;31792;0.0700204605241791;0.311811893085642;0.292260725536683
14211;0.18525;-0.2125;18963;0.18892277143465;0.354442947308702;0.119707822140274
14218;-0.813;-1.75;23158;0.172813990461049;0.347694753577106;0.17027027027027
14221;-0.315;-0.15;43681;0.0351124656809652;0.163220070023425;0.561849827460265
14224;-0.44;-0.15;36414;0.0524150093073381;0.313934881290618;0.299010483001861
14225;0;0.15;31318;0.0620955189645285;0.370729909068567;0.24653887113951
14228;0.12;1.5;32261;0.05178671133445;0.177205471803462;0.511097152428811
14450;-0.66;-0.75;43778;0.0370986687548943;0.131688854085095;0.578830592534586
14534;0;-0.4;54654;0.0221433704635286;0.0732572763205174;0.748293208767517
14559;-0.229;-1.25;38653;0.044228774633279;0.248110831234257;0.381167580382279
14580;-0.535;-0.25;40899;0.0493077797293109;0.202241967145366;0.467997727037917
14612;-0.0985;-0.625;34108;0.0741172810701509;0.257232851143257;0.335122102970913
14620;0.34;0;29284;0.0727356960852444;0.164639796154737;0.520789900393792
14624;0.625;1.8;34944;0.0743100588146584;0.263421806665661;0.335846780274468
14779;0.796;0.1;21878;0.125950570342205;0.456511406844106;0.120009505703422
14843;-0.786;-2.25;24244;0.0805976907403215;0.414534752094182;0.183269187231152
14845;0.1655;-0.475;34016;0.067949242734343;0.296356938190749;0.299631600491199
14850;-0.2835;-0.925;25846;0.0530385164051355;0.14037089871612;0.647018544935806
14901;-0.586;0;17618;0.197261613691932;0.401564792176039;0.123129584352078
14903;-0.542;0.05;30210;0.0785964912280702;0.323157894736842;0.255964912280702
15001;0.44;0.6;31763;0.0719036647393818;0.339912185367126;0.235577968091119
15010;0;0;29924;0.0697831275293141;0.366763515616893;0.273892290131784
15024;-0.477;-0.5;33625;0.0410464591790708;0.30326266726808;0.336039693279206
