meanVader;meanSyuzhet;state;MedianIncomePast12Months;LessThanHighSchoolGraduate;HighSchoolGraduate;BachelorsDegreeOrHigher;PercentDemocrat
0.014231884057971;-0.086231884057971;Alabama;26231;0.138193013472044;0.308002675196943;0.254683326121383;37.03289206
0.109448979591837;-0.00306122448979593;Arkansas;25758;0.134302427025923;0.34034883992605;0.230277897773905;35.60921846
-0.00396992481203008;-0.144360902255639;Arizona;30216;0.128607054321027;0.238588772352728;0.294668055070732;50.25968224
0.0193562913907285;-0.0525165562913907;California;31960;0.166921701541916;0.20487895246605;0.339259634393054;65.93476045
0.0619462365591398;-0.0467741935483871;Colorado;35887;0.0825367872418789;0.213680595800008;0.409123429420749;56.76930743
-0.133810344827586;-0.266379310344828;Connecticut;37865;0.093698791226272;0.268547115595658;0.392842400310902;60.24189985
0.00594285714285714;0.0133333333333333;District of Columbia;49542;0.0907681597033895;0.168351156408617;0.58540707040452;94.70751987
0.2915;0.145;Delaware;33628;0.0998266897746967;0.312928046375426;0.319933664017212;59.64685929
-0.0257033248081841;-0.231713554987212;Florida;27936;0.118108587310555;0.285734990139148;0.298795749894175;48.29845581
-0.0173465346534653;-0.0626237623762376;Georgia;29958;0.128551413204953;0.277147165496636;0.313230053544579;50.1051773
0.0961025641025641;0.0487179487179487;Iowa;31707;0.0790879139519826;0.309825424016323;0.285662884625033;45.81564178
-0.0658666666666667;-0.55;Idaho;27243;0.092266995112751;0.273568516506567;0.275680467856387;34.12456451
0.00810674157303371;-0.027247191011236;Illinois;32495;0.107875862896269;0.259549435265813;0.346525603136618;57.9234307
-0.0569420289855073;-0.121014492753623;Indiana;30005;0.111813741721294;0.33406756313575;0.264565591233301;41.78261816
-0.150777777777778;-0.366666666666667;Kansas;31017;0.0904840982842159;0.259061367969683;0.333846927816582;42.25142557
-0.037;-0.0363636363636364;Kentucky;26653;0.137386956943691;0.328939188027663;0.242152858490944;36.6846394
0.0727692307692308;0.113461538461538;Louisiana;26295;0.147738686713898;0.339627531836041;0.241135394011109;40.52894194
-0.0065;-0.275819672131148;Massachusetts;37886;0.0924243618826258;0.240192626738326;0.436889061863783;66.78335601
0.0464220183486239;-0.0389908256880734;Maryland;40341;0.0979613955807768;0.246110420661183;0.401720412234043;64.85334508
0.362411764705882;0.65;Maine;29808;0.0738976940141687;0.314735293604362;0.318121950443325;55.18523442
0.00685148514851485;-0.0475247524752475;Michigan;29672;0.0919045773965727;0.28873879427253;0.291359187962686;51.35889554
-0.0261688311688312;-0.0266233766233766;Minnesota;36076;0.0685951312750538;0.246475882025007;0.360818444875096;53.62575023
0.0612929292929293;-0.044949494949495;Missouri;29649;0.100785797950819;0.306170360880076;0.292180164619743;42.06354014
0.181740740740741;0.231481481481481;Mississippi;24509;0.154937312405412;0.304380286181397;0.220255913183882;39.54774478
-0.12452380952381;0.0666666666666667;Montana;28409;0.0644965055751802;0.28832080962816;0.320296697751263;41.62657115
0.00323648648648649;0.00810810810810811;North Carolina;28836;0.122195479605187;0.256524652058411;0.312556854312208;49.30074683
-0.5256;-1.46;North Dakota;35499;0.0735131335493306;0.264290966089507;0.300477914145128;32.80060861
-0.010037037037037;-0.0222222222222222;Nebraska;31933;0.085957446128218;0.261060921195882;0.319118067889876;40.07251436
0.209681818181818;0.459090909090909;New Hampshire;35807;0.0689403823865997;0.274196453953144;0.370429338867502;53.62118619
-0.109519230769231;-0.284935897435897;New Jersey;38238;0.101837358223435;0.271857950835769;0.397136427805705;59.24922668
0.00683870967741935;-0.0887096774193548;New Mexico;25881;0.144117271911704;0.264604299219522;0.273284113751816;55.40090462
-0.11067032967033;-0.176923076923077;Nevada;31206;0.133091732507782;0.280850689222598;0.247318548732207;51.32464891
-0.009;-0.0483990147783251;New York;33562;0.13179300931335;0.259777755721729;0.365744574670496;56.48107603
-0.00616111111111111;-0.0819444444444444;Ohio;30171;0.0962135726713523;0.330374959079222;0.282771948112391;45.94796085
0.0408867924528302;-0.106603773584906;Oklahoma;27637;0.119769467703257;0.313300320050862;0.255203141251377;33.0599605
-0.0202298850574713;-0.121264367816092;Oregon;30710;0.092878455992687;0.227353007123269;0.336646027009779;58.30833199
-0.00798760330578512;-0.0201646090534979;Pennsylvania;31099;0.0948054506517142;0.346938855280944;0.314296636495458;50.3419608
0.0643888888888889;-0.161111111111111;Rhode Island;32256;0.111865165491047;0.282673629951167;0.341994031470429;60.33699919
-0.0951463414634146;-0.177439024390244;South Carolina;27366;0.124889649492264;0.291031459214481;0.281197317877058;44.0758051
-0.0351538461538461;0.0461538461538461;South Dakota;31033;0.0825324558476431;0.302377911679563;0.288403247419168;36.560062
-0.0198114754098361;-0.0680327868852459;Tennessee;27607;0.125371425556956;0.320880072843116;0.273389482871862;38.11659148
-0.0111846846846847;-0.0427927927927928;Texas;30596;0.163138746960134;0.249570389829796;0.29896367404581;47.04190377
0.108591836734694;0.229591836734694;Utah;30801;0.0771907818417457;0.228362458964986;0.340179446638583;39.18704485
0.0317565789473684;-0.0325657894736842;Virginia;35421;0.103056906437136;0.239535452144979;0.387814473056938;54.94849736
0.0366;-0.05;Vermont;31492;0.0732779367025383;0.287953503155792;0.380245652272624;67.15618184
0.018152;0.0328;Washington;35989;0.0867270892562839;0.219994652683146;0.36020137901186;60.33091208
-0.0465671641791045;-0.127611940298507;Wisconsin;32009;0.0779168315129667;0.306388115392831;0.301167301403922;50.31690129
0.188423076923077;0.284615384615385;West Virginia;25320;0.130977523385792;0.403200336795795;0.206146057213341;30.11247073
