"","user_id","status_id","created_at","screen_name","text","lang","location","lat","lng"
"1484","1241915649531604998","1373780007940624385",2021-03-21 23:34:12,"Alan94746262","i need reson to help and not dip out to Brazilian people snd live in peace fuck the USA keep biden fake fucks no oil u find an angel like me again","en","",35.1170026,-106.6327181
"1485","1241915649531604998","1373788343989772290",2021-03-22 00:07:19,"Alan94746262","@KOBPatrickHayes NM USA i am airing 5,000 global news media Michelle Lujan Grissum embezzlement 250 billion spaceport and she abonded NM with Biden fake ass FBI Failed to take down NM USA on indictment against MLG in NM courts to","en","",35.1170026,-106.6327181
"1486","1241915649531604998","1373780351655415808",2021-03-21 23:35:34,"Alan94746262","fuck this Michelle Lujan Grissum embezzlement 250  billion in spaceport built in New Mexico and she abandoned NM and Biden hired her and she brags fuck it dip out","en","",35.1170026,-106.6327181
"1487","1241915649531604998","1373775848076021762",2021-03-21 23:17:40,"Alan94746262","New Mexico embezzlement fraudulent Securities fraud charges they funded nm Michelle Lujan Grissum ststed 10 million Biden and i get fucked no funding for business MLG got busted and feds didnt do there job","en","",35.1170026,-106.6327181
"1488","2945517875","1373788132449996801",2021-03-22 00:06:29,"long_ter","I am so okay with this. Hubba hubba!!! @JoeBiden @POTUS https://t.co/YajY5N4PMD","en","Molalla, OR",45.1499085,-122.5854495
"1489","242608744","1373787815302025218",2021-03-22 00:05:13,"wadadli_albany","@Sugarbunny68 @Vettestr @TreeNunes @fake_biden @laurenboebert How do you know who the criminal is?","en","",42.72794,-73.6870995
"1490","833497746216742916","1373787687757479939",2021-03-22 00:04:43,"x_t_pd","When’s the Biden Administration’s study about our semiconductor shortage wrap up? https://t.co/t5MIxBhB2S","en","The BIG-ASS ARBY’S Downstairs",27.986947,-80.651818
"1491","378791881","1373787635404115968",2021-03-22 00:04:30,"JamesGBeattie","@ComfortablySmug Ya gotta give it to Lemon at this point. Acosta’s diary isn’t the same since Biden came into office. Johnny in Queens what’s up Johnny? https://t.co/9t7rakWdFK","en","New Jersey, USA",40.922665,-73.9984875
"1492","18790337","1373786854596648960",2021-03-22 00:01:24,"CreativCulinary","Does @chucktodd really think Biden has 48 hours in a day? My God he was left a laundry list of things that Trump screwed up and right now he's trying to save people's lives. At least he cares about the people at the border. All Todd cares about are ratings. https://t.co/Xh8aPyq8Sc","en","Denver, CO",38.997936,-105.5508905
"1493","144577821","1373786539117965313",2021-03-22 00:00:09,"vodkasnowflake","Kamala Harris is in the White House because Joe Biden needed a shield for his racism and sexism. Not sure what’s grassroots about that! https://t.co/2RUxonsuhV","en","Washington Heights, NY",40.780709,-73.9685415
"1494","17343403","1373786349938020353",2021-03-21 23:59:24,"kimleonard","Oh hi, @tmobile. You’re financially helping Republicans get elected. The insurrection still happened. The GOP sedition caucus still won’t say Biden won the election. We see you, @MikeSievert. We see you. https://t.co/IDCyu5ByAL","en","01801 & 04009",42.4895265,-71.1593885
"1495","1883282125","1373786253544554499",2021-03-21 23:59:01,"srb194750","@LocalPoliticsis @BarackObama @JoeBiden Hoping the fat guy can make it down the next ramp drinking with one hand","en","Massachusetts, USA",42.03693905,-71.683502
"1496","2903997122","1373786171222814723",2021-03-21 23:58:41,"gregmroscoe","POLITICO: Republican AGs take blowtorch to Biden agenda.
https://t.co/af6i4SqmC9

via @GoogleNews","en","",37.2691755,-119.3066075
"1497","272596060","1373786089203376132",2021-03-21 23:58:22,"llorenz1","@JustSchmeltzer @POTUS @JoeBiden The most interesting man in the world... <U+0001F64C>","en","Naples, FL",26.36136065,-81.8077616
"1498","798227351507083264","1373786082555228161",2021-03-21 23:58:20,"HeheWaitWhut","Mayor Pete beat her to the Empty Rhetoric IdPol Lane and boxed her out, she had nowhere to go, Bernie had the left, Warren had white women and law students named Tyler, Biden had party faithful, and Delaney had our hearts","en","Los Angeles, CA",34.0207895,-118.4119065
